variable	year	topic	leftp	n
CAPPUN1	1984	200	20.1754386	1522
CAPPUN1	1985	200	19.98607242	1502
CAPPUN1	1989	200	20.06578947	1273
CAPPUN1	1990	200	27.18360071	1162
CAPPUN1	1993	200	22.32704403	1328
CAPPUN1	1994	200	27.23449001	986
CAPPUN1	1995	200	28.33505688	1035
CAPPUN2	1983	200	24.68480425	1609
CAPPUN2	1984	200	24.69304229	1522
CAPPUN2	1985	200	24.61322082	1502
CAPPUN2	1989	200	24.68931234	1273
CAPPUN2	1990	200	30.37634409	1163
CAPPUN2	1993	200	26.2992126	1326
CAPPUN2	1994	200	29.70401691	987
CAPPUN2	1995	200	30.4033092	1035
CAPPUN3	1983	200	34.30420712	1610
CAPPUN3	1984	200	31.7535545	1523
CAPPUN3	1985	200	31.83701657	1502
CAPPUN3	1989	200	26.85714286	1273
CAPPUN3	1990	200	37.03374778	1163
CAPPUN3	1993	200	32.8369906	1327
CAPPUN3	1994	200	39.18067227	986
CAPPUN3	1995	200	37.18079673	1035
CARSPOL1	1993	500	87.01854494	1266
CARSPOL1	1996	500	88.70151771	1075
CARSPOL1	1998	500	92.10526316	888
CARSPOL1	2000	500	93.29805996	976
CARTAXHI	1990	500	30.61002179	1185
CARTAXHI	1991	500	35.56818182	1206
CARTAXHI	1993	500	28.06818182	1269
CARTAXHI	1994	500	29.08622909	971
CARTAXHI	1996	500	26.30241423	1076
CARTAXHI	1997	500	27.53441802	1088
CARTAXHI	1998	500	23.87843705	889
CARTAXHI	1999	500	13.45565749	818
CARTAXHI	2000	500	17.21938776	977
CARTAXHI	2001	500	18.52348993	922
CARTAXHI	2002	500	17.07891637	1000
CARTAXHI	2003	500	17.13244228	967
CARTAXHI	2004	500	14.54293629	888
CARTAXHI	2005	500	15.82633053	911
CENSOR	1986	210	21.27272727	1316
CENSOR	1987	210	16.58812441	1244
CENSOR	1987	210	17.88589429	3414
CENSOR	1989	210	18.20754717	2529
CENSOR	1990	210	20.89627392	2350
CENSOR	1991	210	29.30327869	1222
CENSOR	1992	210	19.31982634	3304
CENSOR	1993	210	22.59259259	1328
CENSOR	1994	210	20.52525253	2957
CENSOR	1995	210	22.19635235	3145
CENSOR	1996	210	20.48099302	3103
CENSOR	1997	210	23.82550336	1087
CENSOR	1997	210	18.95679253	3093
CENSOR	1998	210	16.99810606	2546
CENSOR	1999	210	17.23136496	2479
CENSOR	2000	210	20.66049134	2991
CENSOR	2001	210	22.33983287	2141
CENSOR	2001	210	22.33983287	2191
CENSOR	2001	210	20.6230803	2823
CENSOR	2002	210	21.5233205	2928
CENSOR	2003	210	19.50549451	3634
CENSOR	2004	210	19.4255112	2609
CENSOR	2005	210	21.03960396	600
CENSOR	2005	210	21.77227868	2326
CHOPPWOM	1974	210	64.45536446	2304
CHOPPWOM	1978	210	45.94594595	600
CHOPPWOM	1979	210	56.49838883	1867
CHOPPWOM	1981	210	72.09302326	600
CHOPPWOM	1983	210	77.32154138	3955
CHOPPWOM	1987	210	79.24528302	600
CHOPPWOM	1987	210	83.28981723	3826
CHOPPWOM	1990	210	83.33333333	600
CHOPPWOM	1992	210	92.66445812	3534
CHOPPWOM	1994	210	73.34410339	1140
CHOPPWOM	1997	210	81.80300501	3615
CHRGTDEM	1983	200	9.271054494	3955
CHRGTDEM	1987	200	17.34627832	3826
CHRGTDEM	1994	200	39.49367089	1140
CLASSSTR	1961	110	71.79487179	600
CLASSSTR	1964	110	55.17241379	600
CLASSSTR	1972	110	66.66666667	600
CLASSSTR	1973	110	67.41573034	600
CLASSSTR	1973	110	66.27906977	600
CLASSSTR	1974	110	65.16853933	600
CLASSSTR	1974	110	69.66292135	600
CLASSSTR	1974	110	67.41573034	600
CLASSSTR	1975	110	67.41573034	600
CLASSSTR	1981	110	72.52747253	600
CLASSSTR	1984	110	78.72340426	600
CLASSSTR	1986	110	74.46808511	600
CLASSSTR	1991	110	83.15789474	600
CLASSSTR	1993	110	81.91489362	600
CLASSSTR	1994	110	82.9787234	600
